year,day,Number of crimes
2015,1,440
2015,2,562
2015,3,617
2015,4,127
2015,32,415
2015,33,391
2015,34,322
2015,60,355
2015,61,493
2015,62,532
2015,63,106
2015,91,461
2015,92,579
2015,93,653
2015,94,73
2015,121,523
2015,122,623
2015,123,733
2015,124,104
2015,152,580
2015,153,756
2015,154,690
2015,155,52
2015,182,607
2015,183,694
2015,184,759
2015,185,149
2015,213,617
2015,214,723
2015,215,608
2015,216,130
2015,244,569
2015,245,656
2015,246,667
2015,247,62
2015,274,557
2015,275,691
2015,276,666
2015,277,116
2015,305,535
2015,306,628
2015,307,618
2015,308,66
2015,335,622
2015,336,679
2015,337,598
2015,338,119
2016,1,537
2016,2,569
2016,3,367
2016,4,96
2016,32,462
2016,33,443
2016,34,544
2016,61,452
2016,62,550
2016,63,622
2016,64,128
2016,92,475
2016,93,640
2016,94,607
2016,95,37
2016,122,538
2016,123,649
2016,124,655
2016,125,145
2016,153,551
2016,154,718
2016,155,705
2016,156,72
2016,183,568
2016,184,682
2016,185,694
2016,186,138
2016,214,510
2016,215,618
2016,216,649
2016,217,140
2016,245,548
2016,246,659
2016,247,713
2016,248,62
2016,275,557
2016,276,658
2016,277,714
2016,278,162
2016,306,565
2016,307,594
2016,308,663
2016,309,58
2016,336,532
2016,337,641
2016,338,596
2016,339,119
2017,1,464
2017,2,573
2017,3,609
2017,4,107
2017,32,479
2017,33,531
2017,34,459
2017,60,423
2017,61,406
2017,62,488
2017,63,93
2017,91,432
2017,92,544
2017,93,542
2017,94,61
2017,121,516
2017,122,554
2017,123,604
2017,124,126
2017,152,502
2017,153,580
2017,154,599
2017,155,40
2017,182,506
2017,183,577
2017,184,518
2017,185,157
2017,213,500
2017,214,541
2017,215,564
2017,216,116
2017,244,457
2017,245,570
2017,246,587
2017,247,59
2017,274,487
2017,275,565
2017,276,583
2017,277,118
2017,305,432
2017,306,537
2017,307,559
2017,308,50
2017,335,491
2017,336,549
2017,337,420
2017,338,72
2018,1,349
2018,2,503
2018,3,547
2018,4,85
2018,32,403
2018,33,446
2018,34,453
2018,60,378
2018,61,462
2018,62,472
2018,63,82
2018,91,439
2018,92,465
2018,93,477
2018,94,56
2018,121,449
2018,122,538
2018,123,554
2018,124,125
2018,152,433
2018,153,623
2018,154,592
2018,155,45
2018,182,495
2018,183,587
2018,184,622
2018,185,130
2018,213,498
2018,214,673
2018,215,680
2018,216,110
2018,244,522
2018,245,639
2018,246,633
2018,247,58
2018,274,526
2018,275,645
2018,276,605
2018,277,119
2018,305,451
2018,306,533
2018,307,495
2018,308,45
2018,335,442
2018,336,526
2018,337,478
2018,338,102
2019,1,323
2019,2,348
2019,3,353
2019,4,53
2019,32,308
2019,33,356
2019,34,280
2019,60,275
2019,61,321
2019,62,360
2019,63,57
2019,91,301
2019,92,333
2019,93,380
2019,94,28
2019,121,315
2019,122,349
2019,123,399
2019,124,73
2019,152,327
2019,153,395
2019,154,429
2019,155,24
2019,182,321
2019,183,358
2019,184,451
2019,185,96
2019,213,398
2019,214,438
2019,215,390
2019,216,84
2019,244,347
2019,245,428
2019,246,409
2019,247,50
2019,274,370
2019,275,470
2019,276,437
2019,277,80
2019,305,340
2019,306,433
2019,307,401
2019,308,29
2019,335,366
2019,336,369
2019,337,356
2019,338,65
2020,1,298
2020,2,359
2020,3,445
2020,4,79
2020,32,303
2020,33,345
2020,34,360
2020,61,318
2020,62,316
2020,63,209
2020,64,52
2020,92,198
2020,93,189
2020,94,250
2020,95,25
2020,122,189
2020,123,220
2020,124,270
2020,125,61
2020,153,329
2020,154,272
2020,155,282
2020,156,32
2020,183,245
2020,184,271
2020,185,279
2020,186,46
2020,214,275
2020,215,318
2020,216,292
2020,217,68
2020,245,284
2020,246,341
2020,247,377
2020,248,42
2020,275,278
2020,276,345
2020,277,326
2020,278,72
2020,306,276
2020,307,364
2020,308,300
2020,309,39
2020,336,291
2020,337,305
2020,338,256
2020,339,52
2021,1,249
2021,2,253
2021,3,276
2021,4,32
2021,32,226
2021,33,255
2021,34,206
2021,60,258
2021,61,241
2021,62,219
2021,63,45
2021,91,200
2021,92,248
2021,93,268
2021,94,26
2021,121,245
2021,122,333
2021,123,332
2021,124,68
2021,152,307
2021,153,319
2021,154,360
2021,155,29
2021,182,339
2021,183,360
2021,184,300
2021,185,67
2021,213,304
2021,214,348
2021,215,331
2021,216,77
2021,244,343
2021,245,375
2021,246,397
2021,247,34
2021,274,371
2021,275,371
2021,276,365
2021,277,48
2021,305,287
2021,306,322
2021,307,287
2021,308,49
2021,335,287
2021,336,281
2021,337,271
2021,338,48
2022,1,238
2022,2,354
2022,3,327
2022,4,60
2022,32,281
2022,33,290
2022,34,261
2022,60,250
2022,61,290
2022,62,280
2022,63,52
2022,91,221
2022,92,306
